AgeGroup,Gender,Education,EmploymentStatus,TelecomCompany,ReasonForChoosing,DurationWithCompany,PlanType,MonthlyCharges,Churn,ChurnReason_NetworkCoverage,ChurnReason_CustomerService,ChurnReason_Pricing,ChurnLikelihood,MonthlyCharges_Numeric,Gender_NuUmeric,AgeGroup_Numeric
25-34,Transgender,Primary School,Retired,AirtelTigo,Coverage,1-2 years,Both,GHS 101-200,No,FALSE,FALSE,FALSE,2,4,3,2
55-64,Male,High school graduate,Employed part-time,Vodafone,Customer Service,6-12 months,Postpaid,GHS 301-400,Yes,TRUE,TRUE,TRUE,1, ,1,5
45-54,Female,High school graduate,Employed full-time,MTN,Coverage,3-4 years,Both,GHS 101-200,Yes,FALSE,FALSE,TRUE,2,4,2,4
25-34,Transgender,Postgraduate,Self-employed,MTN,Pricing,3-4 years,Postpaid,More than GHS 400,Yes,TRUE,TRUE,FALSE,5,7,3,2
25-34,Transgender,Primary School,Employed full-time,Glo,Customer Service,Less than 6 months,Both,More than GHS 400,No,FALSE,TRUE,FALSE,1,7,3,2
45-54,Prefer not to say,High school graduate,Employed full-time,Vodafone,Pricing,3-4 years,Both,GHS 301-400,No,TRUE,TRUE,FALSE,3, ,4,4
18-24,Transgender,High school graduate,Self-employed,AirtelTigo,Pricing,6-12 months,Postpaid,GHS 101-200,No,FALSE,FALSE,TRUE,4,4,3,1
55-64,Male,Prefer not to say,Employed part-time,MTN,Customer Service,5 or more years,Prepaid,Less than GHS 20,Yes,TRUE,TRUE,FALSE,2,1,1,5
18-24,Transgender,Primary School,Employed full-time,AirtelTigo,Customer Service,3-4 years,Both,GHS 201-300,Yes,FALSE,TRUE,TRUE,3,5,3,1
25-34,Prefer not to say,No Education,Student,MTN,Pricing,3-4 years,Postpaid,GHS 201-300,No,FALSE,TRUE,TRUE,4,5,4,2
55-64,Prefer not to say,Primary School,Retired,Glo,Customer Service,Less than 6 months,Both,GHS 301-400,Yes,FALSE,FALSE,TRUE,5, ,4,5
25-34,Transgender,Postgraduate,Self-employed,MTN,Pricing,3-4 years,Postpaid,More than GHS 400,Yes,TRUE,TRUE,FALSE,5,7,3,2
18-24,Transgender,Primary School,Self-employed,MTN,Prefer not to say,Less than 6 months,Both,GHS 201-300,Yes,FALSE,TRUE,FALSE,2,5,3,1
25-34,Transgender,Postgraduate,Self-employed,MTN,Pricing,3-4 years,Postpaid,More than GHS 400,Yes,TRUE,TRUE,FALSE,5,7,3,2
25-34,Transgender,Postgraduate,Self-employed,MTN,Pricing,3-4 years,Postpaid,More than GHS 400,Yes,TRUE,TRUE,FALSE,5,7,3,2
25-34,Transgender,Postgraduate,Self-employed,MTN,Pricing,3-4 years,Postpaid,More than GHS 400,Yes,TRUE,TRUE,FALSE,5,7,3,2
18-24,Female,No Education,Self-employed,MTN,Customer Service,6-12 months,Postpaid,Less than GHS 20,No,FALSE,FALSE,TRUE,4,1,2,1
18-24,Transgender,Postgraduate,Employed full-time,MTN,Prefer not to say,Less than 6 months,Both,More than GHS 400,Yes,FALSE,TRUE,TRUE,4,7,3,1
25-34,Male,No Education,Self-employed,MTN,Pricing,1-2 years,Postpaid,Less than GHS 20,Yes,FALSE,FALSE,FALSE,2,1,1,2
45-54,Prefer not to say,Primary School,Self-employed,Vodafone,Prefer not to say,6-12 months,Both,GHS 201-300,Yes,TRUE,TRUE,TRUE,1,5,4,4
55-64,Male,High school graduate,Employed part-time,Vodafone,Customer Service,6-12 months,Prepaid,More than GHS 200,Yes,TRUE,TRUE,TRUE,3,6,1,5
35-44,Male,Undergraduate,Employed full-time,AirtelTigo,Prefer not to say,1-2 years,Both,GHS 201-300,Yes,TRUE,FALSE,FALSE,4,5,1,3
45-54,Prefer not to say,Primary School,Retired,AirtelTigo,Prefer not to say,5 or more years,Prepaid,GHS 301-400,No,TRUE,FALSE,FALSE,5, ,4,4
18-24,Male,Primary School,Student,MTN,Customer Service,3-4 years,Postpaid,GHS 201-300,No,FALSE,FALSE,TRUE,3,5,1,1
18-24,Male,Postgraduate,Unemployed,Vodafone,Prefer not to say,1-2 years,Postpaid,More than GHS 400,No,FALSE,TRUE,FALSE,2,7,1,1
35-44,Prefer not to say,Postgraduate,Unemployed,MTN,Coverage,Less than 6 months,Prepaid,GHS 101-200,No,TRUE,FALSE,TRUE,4,4,4,3
18-24,Male,Primary School,Unemployed,MTN,Prefer not to say,1-2 years,Both,GHS 201-300,No,TRUE,FALSE,TRUE,3,5,1,1
45-54,Prefer not to say,Primary School,Student,Glo,Customer Service,6-12 months,Postpaid,More than GHS 200,Yes,FALSE,TRUE,FALSE,4,6,4,4
25-34,Transgender,No Education,Employed part-time,MTN,Prefer not to say,6-12 months,Prepaid,GHS 20-50,Yes,TRUE,FALSE,FALSE,5,2,3,2
25-34,Transgender,Postgraduate,Self-employed,MTN,Pricing,3-4 years,Postpaid,More than GHS 400,Yes,TRUE,TRUE,FALSE,5,7,3,2
45-54,Transgender,No Education,Self-employed,Glo,Pricing,Less than 6 months,Both,GHS 201-300,Yes,FALSE,FALSE,TRUE,2,5,3,4
45-54,Prefer not to say,Undergraduate,Unemployed,AirtelTigo,Pricing,5 or more years,Prepaid,GHS 201-300,No,TRUE,TRUE,FALSE,3,5,4,4
55-64,Male,Undergraduate,Student,MTN,Pricing,5 or more years,Both,GHS 101-200,No,TRUE,TRUE,TRUE,3,4,1,5
18-24,Transgender,Prefer not to say,Employed full-time,MTN,Prefer not to say,5 or more years,Both,GHS 201-300,No,FALSE,TRUE,TRUE,2,5,3,1
25-34,Female,Undergraduate,Employed full-time,MTN,Pricing,Less than 6 months,Prepaid,GHS 51-100,No,TRUE,FALSE,FALSE,2,3,2,2
18-24,Prefer not to say,Postgraduate,Employed part-time,Glo,Customer Service,6-12 months,Postpaid,Less than GHS 20,Yes,TRUE,FALSE,TRUE,2,1,4,1
18-24,Prefer not to say,Prefer not to say,Employed full-time,MTN,Coverage,1-2 years,Postpaid,More than GHS 400,No,TRUE,FALSE,FALSE,4,7,4,1
25-34,Transgender,Primary School,Unemployed,Glo,Coverage,3-4 years,Postpaid,More than GHS 400,Yes,TRUE,FALSE,TRUE,2,7,3,2
55-64,Transgender,Postgraduate,Self-employed,MTN,Prefer not to say,Less than 6 months,Prepaid,GHS 301-400,No,TRUE,TRUE,FALSE,2, ,3,5
45-54,Transgender,No Education,Retired,MTN,Pricing,3-4 years,Both,GHS 51-100,No,TRUE,FALSE,FALSE,5,3,3,4
45-54,Prefer not to say,Prefer not to say,Retired,AirtelTigo,Customer Service,6-12 months,Both,GHS 201-300,No,FALSE,FALSE,FALSE,4,5,4,4
25-34,Male,No Education,Retired,AirtelTigo,Prefer not to say,5 or more years,Postpaid,GHS 101-200,Yes,TRUE,FALSE,FALSE,4,4,1,2
45-54,Transgender,No Education,Unemployed,Vodafone,Customer Service,3-4 years,Postpaid,More than GHS 200,No,TRUE,FALSE,TRUE,1,6,3,4
25-34,Transgender,No Education,Unemployed,Vodafone,Prefer not to say,1-2 years,Both,Less than GHS 20,No,TRUE,FALSE,TRUE,5,1,3,2
55-64,Female,Prefer not to say,Retired,MTN,Customer Service,5 or more years,Postpaid,GHS 301-400,Yes,FALSE,TRUE,FALSE,4, ,2,5
35-44,Female,Primary School,Student,MTN,Pricing,Less than 6 months,Postpaid,GHS 20-50,No,FALSE,TRUE,TRUE,5,2,2,3
35-44,Prefer not to say,Postgraduate,Employed part-time,Glo,Prefer not to say,6-12 months,Prepaid,GHS 101-200,Yes,TRUE,TRUE,FALSE,5,4,4,3
35-44,Female,Prefer not to say,Employed full-time,MTN,Customer Service,5 or more years,Postpaid,GHS 201-300,No,TRUE,FALSE,TRUE,1,5,2,3
45-54,Male,Postgraduate,Employed part-time,MTN,Customer Service,6-12 months,Both,More than GHS 400,Yes,TRUE,TRUE,TRUE,3,7,1,4
